Close price,Exchange Date
"1,464",16-Apr-2012
"1,478",17-Apr-2012
"1,468",18-Apr-2012
"1,446",19-Apr-2012
"1,476",20-Apr-2012
"1,444",23-Apr-2012
"1,490",24-Apr-2012
"1,483",25-Apr-2012
"1,498",26-Apr-2012
"1,515",27-Apr-2012
"1,472",30-Apr-2012
"1,515",01-May-2012
"1,538",02-May-2012
"1,517",03-May-2012
"1,511",04-May-2012
"1,538",08-May-2012
"1,540",09-May-2012
"1,545",10-May-2012
"1,550",11-May-2012
"1,526",14-May-2012
"1,548",15-May-2012
"1,550",16-May-2012
"1,528",17-May-2012
"1,551",18-May-2012
"1,539",21-May-2012
"1,511",22-May-2012
"1,485",23-May-2012
"1,473",24-May-2012
"1,476",25-May-2012
"1,481",28-May-2012
"1,475",29-May-2012
"1,450",30-May-2012
"1,471",31-May-2012
"1,452",01-Jun-2012
"1,452",05-Jun-2012
"1,519",06-Jun-2012
"1,521",07-Jun-2012
"1,530",08-Jun-2012
"1,527",11-Jun-2012
"1,552",12-Jun-2012
"1,568",13-Jun-2012
"1,580",14-Jun-2012
"1,575",15-Jun-2012
"1,530",18-Jun-2012
"1,539",19-Jun-2012
"1,508",20-Jun-2012
"1,516",21-Jun-2012
"1,501",22-Jun-2012
"1,488",25-Jun-2012
"1,509",26-Jun-2012
"1,565",27-Jun-2012
"1,587",28-Jun-2012
"1,614",29-Jun-2012
"1,627",02-Jul-2012
"1,651",03-Jul-2012
"1,635",04-Jul-2012
"1,637",05-Jul-2012
"1,604",06-Jul-2012
"1,634",09-Jul-2012
"1,616",10-Jul-2012
"1,607",11-Jul-2012
"1,540",12-Jul-2012
"1,540",13-Jul-2012
"1,518",16-Jul-2012
"1,501",17-Jul-2012
"1,501",18-Jul-2012
"1,532",19-Jul-2012
"1,543",20-Jul-2012
"1,554",23-Jul-2012
"1,540",24-Jul-2012
"1,553",25-Jul-2012
"1,585",26-Jul-2012
"1,603",27-Jul-2012
"1,609",30-Jul-2012
"1,629",31-Jul-2012
"1,654",01-Aug-2012
"1,649",02-Aug-2012
"1,648",03-Aug-2012
"1,642",06-Aug-2012
"1,672",07-Aug-2012
"1,679",08-Aug-2012
"1,666",09-Aug-2012
"1,650",10-Aug-2012
"1,623",13-Aug-2012
"1,647",14-Aug-2012
"1,638",15-Aug-2012
"1,608",16-Aug-2012
"1,624",17-Aug-2012
"1,605",20-Aug-2012
"1,602",21-Aug-2012
"1,574",22-Aug-2012
"1,570",23-Aug-2012
"1,573",24-Aug-2012
"1,677",28-Aug-2012
"1,677",29-Aug-2012
"1,687",30-Aug-2012
"1,686",31-Aug-2012
"1,652",03-Sep-2012
"1,651",04-Sep-2012
"1,702",05-Sep-2012
"1,718",06-Sep-2012
"1,704",07-Sep-2012
"1,694",10-Sep-2012
"1,665",11-Sep-2012
"1,675",12-Sep-2012
"1,677",13-Sep-2012
"1,692",14-Sep-2012
"1,663",17-Sep-2012
"1,633",18-Sep-2012
"1,642",19-Sep-2012
"1,635",20-Sep-2012
"1,626",21-Sep-2012
"1,583",24-Sep-2012
"1,598",25-Sep-2012
"1,597",26-Sep-2012
"1,601",27-Sep-2012
"1,631",28-Sep-2012
"1,580",01-Oct-2012
"1,599",02-Oct-2012
"1,564",03-Oct-2012
"1,532",04-Oct-2012
"1,525",05-Oct-2012
"1,538",08-Oct-2012
"1,562",09-Oct-2012
"1,535",10-Oct-2012
"1,518",11-Oct-2012
